Date,AAPL,ABBV,ABT,ACN,ADBE,AMGN,AMZN,AVGO,BA,BLK,BMY,BRK-B,CAT,CMCSA,COST,CRM,CSCO,CVX,DHR,GOOGL,GS,HD,HON,IBM,JNJ,JPM,KO,LLY,LOW,MA,MCD,META,MRK,MS,MSFT,NEE,NKE,NVDA,ORCL,PEP,PG,PM,QCOM,RTX,SPGI,T,TMO,TSLA,TXN,UNH,UPS,V,VZ,WMT,XOM
2021-03-17,121.6293716430664,86.74821472167969,107.35153198242188,246.8203887939453,451.010009765625,210.23892211914062,156.7864990234375,43.504119873046875,263.5899963378906,649.7474975585938,50.988224029541016,252.0,213.07281494140625,46.53525161743164,311.6606140136719,210.56163024902344,42.759986877441406,88.58287811279297,185.71878051757812,103.33026885986328,307.5188903808594,249.4728240966797,182.1175079345703,101.63224792480469,140.35203552246094,136.5763702392578,44.45115661621094,177.94285583496094,158.9495086669922,368.0218505859375,201.15890502929688,282.03985595703125,63.48588562011719,71.46554565429688,227.9731903076172,64.53990173339844,135.13491821289062,13.308428764343262,61.839290618896484,115.43925476074219,113.19866943359375,70.03228759765625,120.81934356689453,71.37348937988281,336.71240234375,16.460229873657227,437.08819580078125,233.93666076660156,155.5243682861328,325.7708740234375,131.51426696777344,215.41168212890625,41.04771423339844,41.19657897949219,49.347747802734375
2021-03-18,117.50553131103516,85.69937896728516,107.79875946044922,249.26744079589844,439.17999267578125,210.36805725097656,151.39950561523438,41.755279541015625,256.05999755859375,645.7413330078125,51.1112174987793,252.4600067138672,210.38230895996094,45.216087341308594,305.78131103515625,206.96530151367188,42.22354507446289,85.37673950195312,187.2885284423828,100.30908966064453,310.2378845214844,252.26119995117188,183.8187255859375,102.44353485107422,140.090087890625,138.8307647705078,43.86992645263672,175.27459716796875,159.34129333496094,356.67059326171875,200.0728302001953,276.6872863769531,63.46123504638672,71.53369140625,221.89492797851562,62.92107391357422,133.59524536132812,12.691201210021973,62.32490921020508,114.49754333496094,113.44547271728516,71.10005950927734,117.05728149414062,69.92020416259766,335.0489501953125,16.383792877197266,440.18902587890625,217.72000122070312,151.19728088378906,334.90069580078125,131.14590454101562,213.13218688964844,41.46003341674805,40.658668518066406,47.21989440917969
2021-03-19,116.97909545898438,85.41034698486328,109.75192260742188,246.36276245117188,441.5,211.67628479003906,153.7480010986328,43.016414642333984,255.82000732421875,651.0146484375,51.41462707519531,250.99000549316406,205.46664428710938,44.8842658996582,311.3955993652344,209.6526336669922,42.37928771972656,84.76995086669922,191.72030639648438,100.58798217773438,306.85028076171875,257.55316162109375,182.01492309570312,101.52985382080078,139.71475219726562,136.6204376220703,44.078125,175.61764526367188,163.55104064941406,346.4758605957031,199.65992736816406,288.0975341796875,63.658348083496094,70.6815185546875,221.53907775878906,62.6645393371582,128.2950897216797,12.81414794921875,61.87665939331055,116.19949340820312,112.83726501464844,71.01251220703125,118.20304870605469,70.2969741821289,334.0008544921875,16.247310638427734,439.458251953125,218.2899932861328,152.60206604003906,338.1659851074219,130.4009246826172,199.84161376953125,41.40849685668945,41.19969940185547,46.95391845703125
2021-03-22,120.29376983642578,87.45845794677734,110.86540985107422,247.68902587890625,452.4100036621094,214.90386962890625,155.5435028076172,43.09075927734375,251.22999572753906,652.1565551757812,51.972225189208984,250.36000061035156,206.13238525390625,45.6207389831543,316.6783752441406,212.58700561523438,43.52138900756836,84.0811538696289,193.8798370361328,100.77308654785156,302.5086975097656,257.4105224609375,181.3480682373047,102.82949829101562,140.11630249023438,132.94821166992188,44.242958068847656,177.09471130371094,165.7379150390625,348.31256103515625,202.02061462402344,291.5037536621094,63.658348083496094,69.81226348876953,226.9633026123047,63.416465759277344,129.02297973632812,13.153810501098633,61.93268966674805,119.05052185058594,114.75006103515625,71.59336853027344,120.97271728515625,69.00514221191406,332.24139404296875,16.372875213623047,448.98785400390625,223.3333282470703,156.17477416992188,339.3499755859375,131.84994506835938,200.9040985107422,41.666194915771484,41.396732330322266,46.47182846069336
2021-03-23,119.46511840820312,86.58304595947266,109.9709701538086,248.46421813964844,460.20001220703125,210.90167236328125,156.875,42.073516845703125,241.25,639.3528442382812,51.349021911621094,248.30999755859375,199.04605102539062,45.434600830078125,322.2169494628906,212.4190673828125,43.270469665527344,83.61377716064453,191.0785369873047,101.30110168457031,295.76910400390625,258.3370666503906,178.32180786132812,102.75860595703125,139.98538208007812,131.61846923828125,44.58129119873047,175.03634643554688,164.38023376464844,345.270751953125,201.39227294921875,288.6139831542969,62.63994598388672,67.42611694335938,228.4925079345703,65.47756958007812,127.94983673095703,13.038596153259277,62.819828033447266,120.4846420288086,116.88322448730469,70.0577621459961,119.55628967285156,67.4441909790039,333.4816589355469,16.378337860107422,446.3709716796875,220.72000122070312,155.0301055908203,340.86700439453125,130.86753845214844,201.04898071289062,41.90180587768555,41.88771438598633,45.8983039855957
2021-03-24,117.0765609741211,85.11302947998047,107.71660614013672,249.88380432128906,451.510009765625,211.271728515625,154.35350036621094,41.45789337158203,239.24000549316406,644.8671875,51.08660888671875,249.6300048828125,201.76385498046875,45.25655746459961,320.0393981933594,207.0147247314453,42.95899200439453,85.85231018066406,190.3413543701172,100.8644027709961,292.98760986328125,260.80474853515625,181.42506408691406,102.88462829589844,141.34725952148438,132.6399688720703,44.69405746459961,171.69155883789062,164.63534545898438,349.5273742675781,201.10507202148438,280.18280029296875,62.61530685424805,67.60506439208984,226.45359802246094,64.42488861083984,124.2546615600586,12.611897468566895,62.4089469909668,119.92305755615234,116.84797668457031,70.45558166503906,114.73867797851562,67.77610778808594,338.2508239746094,16.372875213623047,439.8138427734375,210.08999633789062,155.1342010498047,342.8096008300781,130.90847778320312,200.97169494628906,41.97542953491211,41.62813949584961,46.829246520996094
2021-03-25,117.56402587890625,85.79023742675781,108.65667724609375,250.87379455566406,450.989990234375,211.94308471679688,152.31300354003906,41.85953903198242,247.19000244140625,649.1051025390625,51.48843002319336,250.75,204.51812744140625,45.564090728759766,327.89739990234375,202.97381591796875,43.70309066772461,86.15572357177734,189.8465576171875,100.86091613769531,294.681396484375,264.7513732910156,182.8441925048828,104.81440734863281,141.399658203125,134.339599609375,45.12781524658203,174.47413635253906,168.72665405273438,348.27374267578125,201.23973083496094,276.8064270019531,62.475677490234375,68.28681182861328,223.4529266357422,64.97333526611328,120.03695678710938,12.504413604736328,64.08985137939453,120.63152313232422,117.65892791748047,70.56697082519531,114.82891082763672,69.55237579345703,337.7796936035156,16.422008514404297,436.772216796875,213.4633331298828,154.77862548828125,343.2628173828125,133.64276123046875,200.87509155273438,42.247859954833984,41.90959548950195,46.69625473022461
2021-03-26,118.16846466064453,87.52452850341797,111.41302490234375,262.23089599609375,469.0899963378906,217.6322021484375,152.60150146484375,43.703643798828125,244.8699951171875,675.337158203125,52.431434631347656,256.7699890136719,209.30616760253906,44.65766525268555,333.2750549316406,206.58001708984375,45.48548889160156,88.13190460205078,196.4268035888672,100.47732543945312,291.8643493652344,270.65789794921875,186.81936645507812,107.42156982421875,143.9837188720703,136.5763702392578,46.01268005371094,176.58963012695312,174.59478759765625,355.8347473144531,202.14627075195312,281.0567321777344,63.55979919433594,68.15899658203125,227.43455505371094,65.51294708251953,124.09603118896484,12.807663917541504,65.60270690917969,123.28376770019531,119.39543151855469,72.07076263427734,119.98033905029297,70.12651824951172,345.712158203125,16.547578811645508,454.3204650878906,206.23666381835938,163.19869995117188,348.2486572265625,137.51490783691406,206.24545288085938,42.83687973022461,42.259864807128906,47.967960357666016
2021-03-29,118.3439712524414,88.14392852783203,111.5590591430664,261.0821838378906,469.32000732421875,219.43963623046875,153.7864990234375,42.84959030151367,250.52000427246094,676.1934814453125,52.53804016113281,258.82000732421875,209.9628143310547,44.66575622558594,337.18505859375,208.23983764648438,45.44222640991211,87.67269134521484,196.9563446044922,101.52242279052734,290.3843688964844,269.2236022949219,187.1186065673828,107.01199340820312,144.95274353027344,134.45404052734375,46.715362548828125,177.5711669921875,171.8702850341797,352.6956787109375,204.067138671875,288.8026428222656,64.30717468261719,66.36936950683594,226.24203491210938,66.16756439208984,124.56261444091797,12.916396141052246,66.42447662353516,125.10665893554688,121.2641372680664,72.39698028564453,118.4285888671875,69.68693542480469,347.8178405761719,16.684066772460938,452.84912109375,203.76333618164062,161.44708251953125,350.6351623535156,137.64588928222656,207.19198608398438,43.31547164916992,42.741485595703125,47.710296630859375
2021-03-30,116.89134979248047,88.19347381591797,109.29557037353516,260.15753173828125,465.4599914550781,214.9554443359375,152.76449584960938,41.357269287109375,252.00999450683594,668.5203247070312,51.914833068847656,258.19000244140625,212.57115173339844,44.49579620361328,331.1258544921875,207.4790496826172,44.79328918457031,86.86092376708984,193.58807373046875,101.5561752319336,295.9830017089844,271.55767822265625,186.4432373046875,106.11405181884766,144.0535430908203,136.03921508789062,46.10810470581055,176.7707061767578,173.14598083496094,348.1182556152344,201.93978881835938,286.0022277832031,63.206634521484375,67.4005126953125,222.98167419433594,65.65447235107422,124.05872344970703,12.840084075927734,65.88286590576172,123.14555358886719,119.39543151855469,71.09210205078125,117.3820571899414,69.81253814697266,339.2026672363281,16.77687644958496,445.83770751953125,211.8733367919922,161.2389678955078,345.5475769042969,138.05523681640625,204.67103576660156,43.13875961303711,42.45064926147461,47.12015914916992
